"neighborhood","geoid","population","latitude","longitude","perceived_violence","svi","walkability","eviction_filing_rate","eviction_rate","perceived_sidewalk_qual","internet_access","easy_to_transit","rent_burdened","tree_canopy","litter","low_food_access","adult_loneliness","mental_health_need","disability","overall_health","perceived_safety","trust_law_enforce","trust_local_gov","high_school_grad","college_grad","preschool_enroll","unemployment","community_belonging","single_parent","poverty","percent_snap","percent_eligible_no_snap","public_assistance","foreign_born","limited_english_proficiency","nonhispanic_white","firearm_homicide","grade9_ed","roads_rail_airport_proximity_index","food_insecurity","medicaid","noncitizen","veteran","chicago_area","facet_area"
"Rogers Park","1",55454,-87.670171,42.00963,38.256937959,80.5814876275583,14.4005098207826,2.26600056082813,0.586916157307394,46.547849172,88.106383886,84.228615971,48.8097342369204,27.4,28.551376642,5.67896156655646,37.00320243,53.064854256,10.9708598987265,82.282576927,59.172892147,50.394446606,50.144769269,88.9364541906383,50.856471043329,49.4971606192188,5.73076142843895,39.892816842,3.22769223190891,19.9834663203977,16.0661063307905,61.4425149167554,4.13297031054365,24.3260107369582,5.95228348310814,46.0852023104561,5.7,93.8715242944428,48.5777148850515,21.3186998121989,21.937659557948,14.0783736262782,2.89288765281022,"north","The North Side"
"Norwood Park","10",41069,-87.803451,41.985248,15.184951538,40.1804082929201,14.6167486122837,1.00511170170016,0.400132532295574,47.803517399,95.960688539,70.40794751,42.7237721878179,22.9,77.820311758,57.982295050679,18.9093925,NA,10.5476888681511,92.564016582,83.254299623,84.612013073,45.91158969,93.0606831561903,46.1503962964939,56.9075603760316,4.03090383615526,55.64646443,4.28793275970276,7.07867956761183,6.14692247473722,90.5899894129153,3.32693171567659,18.5310416099954,2.47862292638109,70.9852255321682,0,96.1052396217532,72.6978775693975,11.2550168951521,10.8393059708407,4.58148376147688,5.24402440264892,"north","The North Side"
"Jefferson Park","11",26201,-87.771165,41.978836,13.214081274,43.8696136862043,16.1156976448542,1.27273521414934,0.561007350635875,52.436000315,91.277789799,73.138964701,41.4779422023896,22.5,64.181138813,9.38820742416371,27.75649933,55.46679155,10.4626251027048,87.222209682,82.027429598,67.252448773,48.301026405,92.0543320166566,41.247062195974,65.1429976608802,5.9590549743855,39.263917833,3.39130700991134,8.79869726161565,9.18524806378721,64.4557640208527,3.30314614716404,25.8290888400176,8.79190165650335,57.0059882431612,5.3,95.82587951831,77.999267570687,12.9997273970014,13.2703107179491,9.65855661350042,3.40645450832443,"north","The North Side"
"Forest Glen","12",19579,-87.758358,41.993938,5.7175987784,23.7899706276728,15.3782071823539,4.21556131436119,0.889855021178857,60.419995491,96.156893711,83.396434832,24.2999171392573,44.2,84.859536006,17.5198845533823,19.13364246,67.900854536,8.6845966047888,90.697305605,97.645560425,81.398806129,58.147505124,95.5440959551527,59.0843412865931,58.0173802244857,4.53626941494715,63.424096097,1.62862331518324,3.86094822448386,4.16278348845971,72.7738478344448,2.95559386997623,18.0836178264617,3.24309785243038,73.9088985656122,0,97.6765970559375,74.5143540588129,9.53156250500008,7.31231289215383,4.6193333149486,2.26471816832296,"north","The North Side"
"North Park","13",17522,-87.723578,41.983651,18.390970432,73.4950099032314,15.0848179347065,0.78866205384377,0.311318337675155,63.573309552,88.291880651,83.081620701,40.7066478140757,33,72.068924719,76.7781154091305,23.46990757,76.083046745,11.636696355315,89.903856118,86.874929237,76.490152122,68.531281793,88.6118089721441,48.072960652303,74.8904748638864,3.74612130400122,60.943460404,5.2328975052212,14.4198944092916,14.4470921424725,54.6138718794321,3.47339003010431,39.5771245732628,9.10476589685155,45.3929380262668,7.8,93.4890478936158,51.4340897755211,15.9136423773509,26.2257986487314,10.8142043388069,2.28568217262922,"north","The North Side"
"Albany Park","14",48549,-87.721558,41.968078,42.2865308,75.0709693442758,14.7655602530696,1.26207516876018,0.51124702914324,41.632173904,88.114410479,76.492182099,39.8664565575073,23.8,42.048213437,3.89779136284278,38.82269687,83.521543328,7.66616076316574,82.041127743,51.455323804,53.139264135,43.167413084,81.1509916960478,42.6670698983832,57.0473780818411,6.42661227118112,37.674404248,7.78921504351062,13.3880622390548,14.4708417248748,63.8770328522846,2.98657851358234,37.84091099429,14.603128383717,34.2108853774954,4.3,87.4995579549632,66.8320868932522,15.296628373027,23.6374633412865,21.9623850321442,1.70261321353,"west","The West Side"
"Portage Park","15",63038,-87.763401,41.954043,17.880634249,61.4807880409758,14.9800599763902,1.83857315353819,0.627399066359402,44.262967132,92.653701493,85.937314856,43.5723712976417,19.4,61.498080048,24.8257787002095,33.20505364,73.517119511,10.434564518175,89.103271193,72.998606896,69.58860587,50.354953028,87.8122832651389,35.4281301604301,41.8774212164521,5.35715700105355,48.977501396,5.13542615309864,9.79477771342001,10.9227323375527,66.4956871971283,1.96189688612544,31.2141135275406,10.0786473696473,46.6758125311892,2,93.1498709884603,49.8575383642284,13.7917079082921,18.0826735774739,13.6728595852541,2.35470092774217,"west","The West Side"
"Irving Park","16",51911,-87.723457,41.953589,21.233113764,60.2956294457282,15.0959576858352,1.60582785128671,0.608040947163548,54.896387497,90.370467739,86.645230556,39.0822163301028,24.8,52.186245793,15.2155990232583,33.55334538,62.848067944,8.11690389277147,88.637295166,78.197949118,63.983597108,47.999786265,87.3402013880116,47.4629925114054,61.6527886490584,6.00029846698504,44.602401005,5.39305769247691,8.70173989391558,10.7440806799393,59.272699123065,3.09690626691019,25.4670053338672,7.97458249947914,45.2928402244882,2.2,91.7286523519722,73.928753221368,12.4659752319505,16.8122188556796,10.8683816896397,2.24053717779315,"west","The West Side"
"Dunning","17",43120,-87.806015,41.946522,20.077395876,43.2551414303603,14.4296588683792,1.57028777820231,0.504714497323667,42.484638886,90.904292038,76.069311217,40.7044719217896,18.8,49.516745674,47.3604793817543,22.57829194,73.622208921,9.91546769345386,89.430346049,72.771484662,66.30604354,37.302640511,89.7422474146391,27.194460812707,26.8227474340889,5.16021887220362,43.544192202,3.76989338884606,7.74923879669932,6.71343446735357,84.3699782878014,1.77144814186161,32.104503085588,9.6874674525263,55.3781609764103,6.7,94.4564119348601,15.3692519770365,11.6920441419864,16.1361007991309,12.7526115325406,3.23423125126406,"west","The West Side"
"Montclare","18",14412,-87.798033,41.929306,9.8282805902,83.2406489489006,14.9828993909958,3.282142182893,1.02291784013239,36.991649152,90.178615423,65.599379502,63.2477009830157,18.6,58.527645065,0.0758252634643147,44.02004538,96.847744978,14.1232650689657,90.43955648,82.066244633,68.920565146,47.685419394,80.8195931831246,17.3990139547424,44.8641859561497,4.17681773729763,42.675089539,8.98066055444948,10.9794635691174,16.2035708062458,69.0404770540943,2.9360329101048,31.1270308568964,9.33160481449936,33.970134089842,8.9,88.7905734956288,36.9933204684767,14.0422090110451,23.929713859204,15.462546457776,4.08342579024347,"west","The West Side"
